Context,Utterance,Paraphrase
I really love you.,Say it again.,Could you please repeat that?
Sorry I asked.,Give me a hand.,Could you please assist me?
,My foot!,"Oh dear, my foot!"
My foot!,You!,"Excuse me, may I have your attention please?"
I'm just so tired of this whole scene.,Why don't you just let him sleep it off here in the truck?,Would it be alright if he rested in the truck until he feels better?
I'll imagine you.,No one but you.,You are the only one I can imagine.
I'll imagine you. [SEP] No one but you.,Reba?,"Excuse me, may I ask if you are Reba?"
I'll imagine you. [SEP] No one but you. [SEP] Reba?,You slept with Reba?,Did you have a romantic encounter with Reba?
"""Romain, are you home?""",Where did that moron go?,"Excuse me, do you happen to know the whereabouts of Romain?"
,Hold me!,Could you please give me a hug?
Hold me!,Don't you love me anymore?,Do you still have affection for me?
,Breathe.,Please take a deep breath.
Breathe.,"""Please, breathe.""",Could you kindly take a deep breath?
,tell him.,Could you please inform him?
tell him.,You tell him.,Would you mind informing him?
His first opponent is Tsuruoka?,The odds are against the newcomer?,"It seems like the newcomer may face a challenging opponent, doesn't it?"
,Over there. Get that man.,"Excuse me, could you please apprehend the gentleman standing in that direction?"
,You are making a huge mistake.,I believe there may be some potential consequences to the decision you are considering.
You are making a huge mistake.,Drop the gun!,Please put down the firearm.
Have some herbal tea,Trying to curb my temper?,Would you like to enjoy some herbal tea?
So how you doing?,What's going on? Nothing.,How are you doing? Is everything alright?
,What's on the roof?,May I inquire about what is located on the rooftop?
,What the hell just happened?,What just occurred?
What the hell just happened?,She's watching us.,It appears that she is observing our actions.
,Are you tellin 'me there's nobody?,"Excuse me, but is it possible that there is no one available?"
How about that!,You're just a poor police inspector's dog.,You belong to a police inspector who may not have as much wealth as others.
How about that! [SEP] You're just a poor police inspector's dog.,Poor dog!,"Oh dear, what a pity for the dog."
"""Everything is fine now. [SEP] Call a taxi after we leave, ok? [SEP] The number is next to the phone.""",Tooru?,"Excuse me, may I ask for your attention, Tooru?"
You've changed.,Why are you holding back?,Is there a reason for your hesitation?
,The beast is dead!,The creature has passed away.
I definitely won't lose.,That's my line.,"I understand your confidence, but I also have faith in my abilities."
I can try?,"""No way, my dad will kill me.""",I'm afraid that won't be possible as it may result in negative consequences for me.
I don't think you really want to.,Aren't the doctors bringing their spouses?.,Do the doctors plan on bringing their significant others?
,Why do I have to go?,May I ask why I am required to attend?
"""Why do I have to go? [SEP] I've taken a big chance. I'll be lucky to come out alive. [SEP] If you're with me, they'll come after you, too. [SEP] This is a farewell gift. [SEP] I don't care. I'm staying.""",I don't want you getting killed!,I am concerned for your safety and do not wish for any harm to come to you.
,"""Die, you fucker!""",I would prefer if you were no longer present.
"""Die, you fucker!""","""Die, fucker!""","I hope you pass away, you unpleasant person."
,"""Yes, that was really necessary. What's wrong with establishing uniformity in CASH articles?""",I agree that it was important. Is there a reason why having consistency in CASH articles would not be beneficial?
There's one who couldn't stand marriage. [SEP] Surprised?,It can be hell when you have no appetite for it.,It can be quite challenging when one does not have a desire for marriage.
,Rob.,"Excuse me, may I have your attention, Rob?"
Rob.,Wait up.,Could you please wait for me?
Got something.,Chicago PD!,"Excuse me, may I have your attention please?"
Take that bandage off your shoulder in the next two days. [SEP] Would it not be easier if you did that?,"""Yes, but I'll be gone.""","Certainly, but unfortunately I won't be available to do so."
,"""Come on, now!""","Please, let's move forward."
"""Come on, now!""","""Wait, wait!""","""Excuse me, please hold on a moment."""
Try to get some sleep.,You work too hard,You seem to put in a lot of effort.
